Station_ID_C,PositionName,Year,mon,day,Hour,aqi,CO,NO2,O3,PM10,PM2_5,SO2
2568A,马师校,2026,4,23,18,54.0,0.2,5.0,120.0,55.0,28.0,6.0
3994A,马尔康中学西区,2026,4,23,18,73.0,0.2,5.0,116.0,81.0,32.0,4.0
2695A,电视台,2026,4,23,18,172.0,0.0,4.0,116.0,215.0,130.0,4.0
2696A,艺术中心,2026,4,23,18,183.0,0.4,4.0,123.0,189.0,138.0,4.0
2205A,蒙二幼,2026,4,23,18,95.0,0.4,4.0,111.0,113.0,31.0,8.0
2206A,环保局新楼,2026,4,23,18,96.0,0.5,3.0,103.0,114.0,39.0,8.0
2708A,市站,2026,4,23,18,38.0,0.1,13.0,121.0,29.0,2.0,5.0
4166A,阿勒泰路33号,2026,4,23,18,39.0,0.2,5.0,123.0,32.0,8.0,6.0
2630A,阿里监测站,2026,4,23,18,0.0,0.3,2.0,110.0,6.0,2.0,0.0
3192A,阿里藏医院,2026,4,23,18,35.0,0.3,2.0,110.0,4.0,3.0,6.0
2644A,汉滨区检察院,2026,4,23,18,39.0,0.3,6.0,124.0,12.0,6.0,6.0
4054A,市邮政管理局,2026,4,23,18,39.0,0.4,5.0,123.0,18.0,6.0,5.0
2291A,环科院,2026,4,23,18,26.0,0.3,9.0,82.0,11.0,3.0,6.0
2292A,马山宾馆,2026,4,23,18,25.0,0.2,9.0,79.0,11.0,4.0,4.0
2294A,安庆大学,2026,4,23,18,27.0,0.2,6.0,84.0,4.0,3.0,3.0
3173A,市人大,2026,4,23,18,25.0,0.3,8.0,77.0,10.0,3.0,3.0
3123A,凤凰山,2026,4,23,18,37.0,0.5,7.0,116.0,26.0,16.0,10.0
3124A,金钟山,2026,4,23,18,34.0,0.4,5.0,108.0,23.0,21.0,10.0
3125A,娄家坡,2026,4,23,18,34.0,0.6,5.0,108.0,27.0,23.0,8.0
1819A,红庙街,2026,4,23,18,47.0,0.2,9.0,122.0,47.0,26.0,3.0
1820A,银杏小区,2026,4,23,18,59.0,0.2,11.0,128.0,62.0,26.0,4.0
3141A,信访局,2026,4,23,18,43.0,0.3,4.0,130.0,42.0,30.0,2.0
3669A,左辅环卫站,2026,4,23,18,47.0,0.2,9.0,115.0,47.0,20.0,3.0
4117A,钢三路198号,2026,4,23,18,49.0,0.4,10.0,121.0,38.0,34.0,3.0
1748A,深沟寺,2026,4,23,18,68.0,0.7,23.0,118.0,74.0,29.0,13.0
1749A,太阳城,2026,4,23,18,70.0,0.7,22.0,112.0,77.0,30.0,10.0
1750A,太平,2026,4,23,18,75.0,0.7,23.0,115.0,85.0,41.0,10.0
1751A,铁西三道街,2026,4,23,18,63.0,0.4,26.0,112.0,68.0,27.0,7.0
1753A,明达新区,2026,4,23,18,67.0,0.8,20.0,116.0,73.0,30.0,11.0
4201A,兴盛南路290号,2026,4,23,18,71.0,0.3,22.0,115.0,79.0,33.0,6.0
2195A,附二中,2026,4,23,18,101.0,0.3,4.0,112.0,122.0,36.0,9.0
2196A,市环保大楼,2026,4,23,18,90.0,0.3,4.0,114.0,106.0,39.0,6.0
1956A,孔雀公园,2026,4,23,18,129.0,0.2,2.0,95.0,193.0,71.0,10.0
1957A,棉纺厂,2026,4,23,18,0.0,0.0,2.0,101.0,0.0,0.0,0.0
1958A,经济开发区,2026,4,23,18,126.0,0.4,2.0,89.0,187.0,63.0,8.0
3181A,市五中,2026,4,23,18,35.0,0.5,9.0,109.0,17.0,6.0,9.0
3183A,圣泉水务公司,2026,4,23,18,35.0,0.6,7.0,110.0,25.0,6.0,9.0
3616A,市中心医院,2026,4,23,18,35.0,0.5,6.0,110.0,16.0,8.0,10.0
2235A,洮北区环保局,2026,4,23,18,41.0,0.2,10.0,131.0,38.0,16.0,4.0
2236A,市环保局,2026,4,23,18,0.0,0.0,0.0,110.0,44.0,17.0,5.0
2231A,喜丰,2026,4,23,18,36.0,0.9,8.0,109.0,36.0,5.0,7.0
2232A,环保局,2026,4,23,18,34.0,0.8,14.0,108.0,22.0,9.0,9.0
2647A,第三小学,2026,4,23,18,85.0,0.3,8.0,104.0,99.0,46.0,20.0
2648A,动力公司,2026,4,23,18,104.0,0.2,0.0,110.0,128.0,39.0,16.0
2512A,市监测站,2026,4,23,18,0.0,0.9,0.0,92.0,32.0,5.0,8.0
2513A,市中心血站,2026,4,23,18,32.0,0.5,13.0,101.0,31.0,9.0,10.0
4133A,龙景西路,2026,4,23,18,34.0,0.7,10.0,107.0,11.0,9.0,11.0
2270A,工人疗养院,2026,4,23,18,42.0,0.3,15.0,109.0,42.0,8.0,4.0
2271A,百货大楼,2026,4,23,18,37.0,0.3,10.0,110.0,37.0,8.0,5.0
2273A,蚌埠学院,2026,4,23,18,31.0,0.3,18.0,99.0,31.0,9.0,6.0
2274A,淮上区政府,2026,4,23,18,39.0,0.1,12.0,116.0,39.0,6.0,4.0
2275A,高新区,2026,4,23,18,34.0,0.3,13.0,106.0,27.0,9.0,6.0
3715A,蚌埠田家炳中学,2026,4,23,18,40.0,0.2,12.0,114.0,40.0,11.0,5.0
1585A,市环境监测站,2026,4,23,18,92.0,0.5,9.0,135.0,108.0,39.0,8.0
1587A,包头八中,2026,4,23,18,88.0,0.3,10.0,124.0,103.0,42.0,7.0
1589A,惠龙物流,2026,4,23,18,85.0,0.5,9.0,127.0,98.0,33.0,8.0
1590A,东河鸿龙湾,2026,4,23,18,85.0,0.4,6.0,130.0,98.0,30.0,11.0
3283A,滨河大厦,2026,4,23,18,96.0,0.4,6.0,126.0,91.0,58.0,10.0
3419A,包头市委党校,2026,4,23,18,93.0,0.4,7.0,130.0,109.0,40.0,9.0
3683A,昆区政府,2026,4,23,18,85.0,0.6,15.0,125.0,99.0,46.0,6.0
1931A,竹园沟,2026,4,23,18,56.0,0.4,14.0,143.0,58.0,18.0,8.0
1933A,监测站,2026,4,23,18,58.0,0.4,12.0,143.0,61.0,20.0,7.0
1934A,技工学校,2026,4,23,18,60.0,0.3,14.0,143.0,64.0,19.0,4.0
1936A,文理学院,2026,4,23,18,53.0,0.4,14.0,146.0,53.0,21.0,6.0
1937A,三迪小学,2026,4,23,18,51.0,0.4,17.0,145.0,51.0,26.0,6.0
4155A,滨河北路,2026,4,23,18,53.0,0.4,13.0,138.0,53.0,18.0,7.0
4308A,陈仓区北开路21号,2026,4,23,18,58.0,0.4,15.0,134.0,61.0,28.0,8.0
1051A,游泳馆,2026,4,23,18,48.0,0.0,9.0,127.0,48.0,22.0,4.0
1052A,华电二区,2026,4,23,18,0.0,0.3,8.0,127.0,0.0,0.0,0.0
1053A,接待中心,2026,4,23,18,51.0,0.1,6.0,111.0,51.0,21.0,2.0
1054A,地表水厂,2026,4,23,18,65.0,0.2,10.0,125.0,71.0,22.0,4.0
3581A,满城区生态环境分局,2026,4,23,18,58.0,0.2,7.0,132.0,61.0,22.0,4.0
3582A,清苑区第二中学,2026,4,23,18,54.0,0.2,6.0,122.0,55.0,23.0,6.0
3583A,徐水物探局,2026,4,23,18,62.0,0.3,11.0,122.0,66.0,24.0,3.0
4004A,双鹰农机,2026,4,23,18,54.0,0.2,9.0,129.0,55.0,16.0,2.0
4034A,植保所站,2026,4,23,18,68.0,0.2,9.0,129.0,74.0,21.0,3.0
2594A,市环境监测站,2026,4,23,18,49.0,0.4,8.0,135.0,49.0,28.0,7.0
2595A,市环保局,2026,4,23,18,56.0,0.3,7.0,136.0,58.0,36.0,7.0
1867A,海滩公园,2026,4,23,18,22.0,0.8,12.0,48.0,22.0,14.0,7.0
1868A,新市环保局,2026,4,23,18,18.0,0.8,11.0,52.0,18.0,9.0,3.0
1869A,北海工业园,2026,4,23,18,20.0,0.8,12.0,41.0,20.0,12.0,6.0
3400A,龙潭自来水厂,2026,4,23,18,18.0,0.9,9.0,41.0,18.0,12.0,8.0
1001A,万寿西宫,2026,4,23,18,45.0,0.4,12.0,142.0,37.0,17.0,5.0
1003A,东四,2026,4,23,18,47.0,0.5,8.0,150.0,38.0,20.0,4.0
1004A,天坛,2026,4,23,18,44.0,0.3,13.0,138.0,31.0,15.0,6.0
1005A,农展馆,2026,4,23,18,45.0,0.4,13.0,141.0,39.0,17.0,5.0
1006A,官园,2026,4,23,18,42.0,0.3,15.0,133.0,37.0,17.0,4.0
1007A,海淀万柳,2026,4,23,18,39.0,0.4,18.0,122.0,39.0,18.0,6.0
1008A,顺义新城,2026,4,23,18,47.0,0.5,7.0,150.0,42.0,19.0,3.0
1009A,怀柔镇,2026,4,23,18,48.0,0.5,13.0,152.0,34.0,17.0,6.0
1010A,昌平镇,2026,4,23,18,49.0,0.5,17.0,155.0,46.0,25.0,5.0
1011A,奥体中心,2026,4,23,18,41.0,0.4,10.0,131.0,35.0,16.0,5.0
3418A,密云新城,2026,4,23,18,47.0,0.3,8.0,149.0,39.0,19.0,5.0
3671A,门头沟三家店,2026,4,23,18,50.0,0.4,10.0,143.0,50.0,26.0,5.0
3672A,丰台云岗,2026,4,23,18,48.0,0.5,14.0,145.0,48.0,26.0,5.0
3674A,房山燕山,2026,4,23,18,45.0,0.4,13.0,141.0,41.0,28.0,5.0
3675A,大兴旧宫,2026,4,23,18,45.0,0.4,11.0,143.0,30.0,13.0,2.0
3694A,延庆石河营,2026,4,23,18,48.0,0.5,11.0,151.0,43.0,22.0,3.0
3695A,怀柔新城,2026,4,23,18,46.0,0.4,14.0,147.0,35.0,15.0,5.0
3696A,丰台小屯,2026,4,23,18,40.0,0.4,10.0,128.0,36.0,17.0,4.0
3697A,密云镇,2026,4,23,18,49.0,0.4,11.0,155.0,39.0,18.0,7.0
4057A,延庆百泉,2026,4,23,18,50.0,0.6,12.0,158.0,49.0,24.0,2.0
4058A,通州新华,2026,4,23,18,43.0,0.4,14.0,137.0,26.0,11.0,5.0
4182A,石景山八角,2026,4,23,18,60.0,0.4,16.0,133.0,64.0,26.0,5.0
4194A,平谷新城,2026,4,23,18,44.0,0.4,11.0,139.0,42.0,22.0,4.0
1761A,大峪,2026,4,23,18,52.0,0.8,13.0,118.0,52.0,23.0,11.0
1763A,彩屯,2026,4,23,18,44.0,0.6,13.0,120.0,44.0,14.0,13.0
1764A,东明,2026,4,23,18,59.0,0.6,14.0,120.0,62.0,15.0,8.0
1765A,新立屯,2026,4,23,18,55.0,0.9,14.0,118.0,56.0,16.0,14.0
1766A,威宁,2026,4,23,18,59.0,0.6,12.0,124.0,62.0,17.0,11.0
2587A,八中,2026,4,23,18,0.0,0.4,0.0,100.0,14.0,19.0,14.0
2588A,师专,2026,4,23,18,32.0,0.3,9.0,100.0,23.0,16.0,15.0
4263A,工业大道,2026,4,23,18,35.0,0.0,7.0,112.0,23.0,7.0,10.0
1629A,第二水厂,2026,4,23,18,108.0,0.8,14.0,156.0,107.0,68.0,10.0
1630A,北中新校,2026,4,23,18,150.0,0.5,13.0,169.0,80.0,114.0,8.0
3514A,中海酒店,2026,4,23,18,70.0,0.6,17.0,166.0,78.0,39.0,9.0
3515A,开发区一中,2026,4,23,18,90.0,0.8,15.0,146.0,85.0,55.0,11.0
3516A,金海六路,2026,4,23,18,68.0,0.6,10.0,151.0,71.0,44.0,8.0
4028A,滨州市西街道办事处,2026,4,23,18,102.0,0.6,14.0,167.0,90.0,62.0,8.0
2311A,污水处理厂,2026,4,23,18,35.0,0.1,5.0,111.0,18.0,0.0,6.0
2312A,三国揽胜宫,2026,4,23,18,33.0,0.2,5.0,105.0,19.0,2.0,8.0
3332A,亳州学院,2026,4,23,18,33.0,0.3,4.0,104.0,11.0,0.0,7.0
2693A,市党校,2026,4,23,18,55.0,0.2,8.0,132.0,56.0,11.0,4.0
2694A,市环保局,2026,4,23,18,58.0,0.4,8.0,130.0,60.0,14.0,6.0
1071A,沧县城建局,2026,4,23,18,45.0,0.5,11.0,126.0,45.0,22.0,6.0
1072A,电视转播站,2026,4,23,18,0.0,0.0,9.0,133.0,51.0,29.0,8.0
1073A,市环保局,2026,4,23,18,56.0,0.6,9.0,126.0,58.0,32.0,6.0
3324A,河北水利电力学院,2026,4,23,18,50.0,0.2,8.0,116.0,41.0,35.0,8.0
2622A,昌都监测站,2026,4,23,18,33.0,0.5,8.0,103.0,19.0,4.0,7.0
3719A,昌都会议中心,2026,4,23,18,35.0,0.3,3.0,110.0,19.0,3.0,5.0
2692A,新区政务中心,2026,4,23,18,41.0,0.3,9.0,131.0,26.0,17.0,6.0
3613A,亚心广场,2026,4,23,18,44.0,0.2,4.0,140.0,41.0,18.0,7.0
4164A,财政所,2026,4,23,18,43.0,0.3,11.0,136.0,43.0,7.0,8.0
1120A,客车厂,2026,4,23,18,37.0,0.3,24.0,97.0,37.0,24.0,8.0
1121A,邮电学院,2026,4,23,18,32.0,0.3,8.0,102.0,26.0,11.0,6.0
1122A,劳动公园,2026,4,23,18,34.0,0.4,20.0,106.0,32.0,22.0,8.0
1123A,园林处,2026,4,23,18,34.0,0.3,15.0,108.0,25.0,18.0,7.0
1124A,净月潭,2026,4,23,18,35.0,0.3,5.0,110.0,29.0,14.0,5.0
1126A,经开区环卫处,2026,4,23,18,33.0,0.4,16.0,103.0,27.0,14.0,6.0
