Station_ID_C,PositionName,Year,mon,day,Hour,aqi,CO,NO2,O3,PM10,PM2_5,SO2
4308A,陈仓区北开路21号,2026,4,23,21,70.0,0.5,30.0,110.0,66.0,45.0,8.0
1051A,游泳馆,2026,4,23,21,55.0,0.0,13.0,102.0,56.0,28.0,2.0
1052A,华电二区,2026,4,23,21,0.0,0.4,0.0,105.0,53.0,25.0,3.0
1053A,接待中心,2026,4,23,21,50.0,0.1,10.0,91.0,50.0,22.0,3.0
1054A,地表水厂,2026,4,23,21,64.0,0.2,21.0,88.0,69.0,29.0,2.0
3581A,满城区生态环境分局,2026,4,23,21,60.0,0.2,13.0,89.0,63.0,24.0,3.0
3582A,清苑区第二中学,2026,4,23,21,66.0,0.3,24.0,79.0,72.0,28.0,4.0
3583A,徐水物探局,2026,4,23,21,71.0,0.3,20.0,86.0,79.0,22.0,1.0
4004A,双鹰农机,2026,4,23,21,55.0,0.1,13.0,96.0,57.0,31.0,3.0
4034A,植保所站,2026,4,23,21,73.0,0.2,18.0,96.0,81.0,28.0,1.0
2594A,市环境监测站,2026,4,23,21,66.0,0.4,12.0,134.0,57.0,43.0,7.0
2595A,市环保局,2026,4,23,21,64.0,0.4,6.0,126.0,68.0,42.0,7.0
1867A,海滩公园,2026,4,23,21,23.0,0.8,12.0,55.0,16.0,16.0,10.0
1868A,新市环保局,2026,4,23,21,0.0,0.6,12.0,55.0,19.0,11.0,0.0
1869A,北海工业园,2026,4,23,21,15.0,0.8,11.0,45.0,6.0,10.0,6.0
3400A,龙潭自来水厂,2026,4,23,21,26.0,1.0,11.0,35.0,23.0,18.0,10.0
1001A,万寿西宫,2026,4,23,21,51.0,0.4,16.0,111.0,51.0,21.0,4.0
1003A,东四,2026,4,23,21,47.0,0.5,14.0,117.0,47.0,26.0,3.0
1004A,天坛,2026,4,23,21,41.0,0.3,20.0,99.0,41.0,18.0,5.0
1005A,农展馆,2026,4,23,21,53.0,0.5,16.0,111.0,54.0,24.0,4.0
1006A,官园,2026,4,23,21,50.0,0.3,17.0,109.0,50.0,20.0,2.0
1007A,海淀万柳,2026,4,23,21,53.0,0.4,22.0,93.0,54.0,23.0,6.0
1008A,顺义新城,2026,4,23,21,53.0,0.5,15.0,114.0,54.0,22.0,2.0
